id,energy_consumption,energy_effective,energy_waste
0,3580550.0,1819440.0,1761110.0
1,3580550.0,1819440.0,1761110.0
2,3580550.0,1819440.0,1761110.0
3,3580550.0,1819440.0,1761110.0
4,3580550.0,1819440.0,1761110.0
5,3580550.0,1811840.0,1768710.0
6,3580550.0,1646540.0,1934010.0
7,3580550.0,1483710.0,2096840.0
8,3493670.0,1158810.0,2334860.0
9,3322625.0,877040.0,2445585.0
10,3287692.0,834290.0,2453402.0
11,3287692.0,834290.0,2453402.0
12,3287692.0,818330.0,2469362.0
13,3287692.0,807310.0,2480382.0
14,3229953.0,776910.0,2453043.0
15,2865419.0,557460.0,2307959.0
16,2782340.0,447260.0,2335080.0
17,2712836.0,404320.0,2308516.0
18,2691116.0,361570.0,2329546.0
19,2700347.0,364610.0,2335737.0
20,2700347.0,344090.0,2356257.0
21,2611476.0,296400.0,2315076.0
22,2514822.0,292600.0,2222222.0
23,2254906.0,234080.0,2020826.0
24,2191556.0,206530.0,1985026.0
25,2182868.0,170430.0,2012438.0
26,2271920.0,179170.0,2092750.0
27,1966935.0,96330.0,1870605.0
28,1966935.0,96330.0,1870605.0
29,1712449.0,70680.0,1641769.0
30,1430089.0,70680.0,1359409.0
31,1420858.0,60990.0,1359868.0
