id,energy_consumption,energy_effective,energy_waste
0,3582070.0,1863140.0,1718930.0
1,3582070.0,1863140.0,1718930.0
2,3582070.0,1863140.0,1718930.0
3,3582070.0,1863140.0,1718930.0
4,3582070.0,1863140.0,1718930.0
5,3582070.0,1855540.0,1726530.0
6,3582070.0,1652050.0,1930020.0
7,3582070.0,1445140.0,2136930.0
8,3582070.0,1155960.0,2426110.0
9,3582070.0,895280.0,2686790.0
10,3582070.0,873810.0,2708260.0
11,3582070.0,860890.0,2721180.0
12,3582070.0,844550.0,2737520.0
13,3582070.0,864120.0,2717950.0
14,3582070.0,859180.0,2722890.0
15,3582070.0,676210.0,2905860.0
16,3426772.0,497800.0,2928972.0
17,3192196.0,398050.0,2794146.0
18,2814268.0,334210.0,2480058.0
19,2609376.0,309320.0,2300056.0
20,2609376.0,286520.0,2322856.0
21,2560325.0,243770.0,2316555.0
22,2517066.0,230660.0,2286406.0
23,1924834.0,194750.0,1730084.0
24,1861846.0,174230.0,1687616.0
25,1358123.0,103740.0,1254383.0
26,1270700.0,57950.0,1212750.0
27,1277759.0,65360.0,1212399.0
28,1277759.0,65360.0,1212399.0
29,1277759.0,65360.0,1212399.0
30,1023454.0,50160.0,973294.0
31,651137.0,24130.0,627007.0
