id,energy_consumption,energy_effective,energy_waste
0,3580550.0,1945980.0,1634570.0
1,3580550.0,1945980.0,1634570.0
2,3580550.0,1945980.0,1634570.0
3,3580550.0,1945980.0,1634570.0
4,3580550.0,1945980.0,1634570.0
5,3580550.0,1938380.0,1642170.0
6,3580550.0,1757500.0,1823050.0
7,3580550.0,1564840.0,2015710.0
8,3580550.0,1323540.0,2257010.0
9,3580550.0,1070460.0,2510090.0
10,3580550.0,968430.0,2612120.0
11,3580550.0,955510.0,2625040.0
12,3580550.0,939170.0,2641380.0
13,3580550.0,883880.0,2696670.0
14,3580550.0,839610.0,2740940.0
15,3580550.0,630990.0,2949560.0
16,2742882.0,328510.0,2414372.0
17,2742882.0,246620.0,2496262.0
18,1992275.0,190950.0,1801325.0
19,1744486.0,156180.0,1588306.0
20,1744486.0,135660.0,1608826.0
21,1744486.0,135660.0,1608826.0
22,1744486.0,122550.0,1621936.0
23,1015599.0,92150.0,923449.0
24,1015599.0,100700.0,914899.0
25,1015599.0,76190.0,939409.0
26,1015599.0,41040.0,974559.0
27,1015599.0,41040.0,974559.0
28,1015599.0,41040.0,974559.0
29,1015599.0,41040.0,974559.0
30,759665.0,24130.0,735535.0
31,759665.0,24130.0,735535.0
