id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1833880.0,1731470.0
1,3565350.0,1833880.0,1731470.0
2,3565350.0,1833880.0,1731470.0
3,3565350.0,1833880.0,1731470.0
4,3565350.0,1833880.0,1731470.0
5,3565350.0,1826280.0,1739070.0
6,3565350.0,1651480.0,1913870.0
7,3565350.0,1446850.0,2118500.0
8,3565350.0,1169830.0,2395520.0
9,3565350.0,873050.0,2692300.0
10,3565350.0,851580.0,2713770.0
11,3565350.0,838660.0,2726690.0
12,3565350.0,822320.0,2743030.0
13,3565350.0,841890.0,2723460.0
14,3565350.0,798000.0,2767350.0
15,3565350.0,675070.0,2890280.0
16,3421274.0,496660.0,2924614.0
17,3421274.0,449160.0,2972114.0
18,3421274.0,400710.0,3020564.0
19,3383988.0,341620.0,3042368.0
20,3383988.0,321100.0,3062888.0
21,3328421.0,273410.0,3055011.0
22,3285162.0,260300.0,3024862.0
23,2669581.0,210710.0,2458871.0
24,2557723.0,189810.0,2367913.0
25,2238077.0,130340.0,2107737.0
26,2127667.0,84550.0,2043117.0
27,2127667.0,71820.0,2055847.0
28,2127667.0,69160.0,2058507.0
29,2127667.0,56620.0,2071047.0
30,1871733.0,39710.0,1832023.0
31,1871733.0,39710.0,1832023.0
