id,state_history
18,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
19,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
20,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
21,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
22,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
23,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
24,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
25,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
26,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
27,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
28,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
29,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
30,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
31,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 300, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 300, 'finish_time': 420, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 420, 'finish_time': 18653}]"
