job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
55,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",4974.0,4741,5001.0,5001.0,False,5001.0
56,execution_finished,"[0, 1, 2, 3, 4, 5]",5001.0,4913,5081.0,5081.0,False,5081.0
57,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",5081.0,4978,5152.0,5152.0,False,5152.0
58,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5152.0,5007,5224.0,5224.0,False,5224.0
59,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5224.0,5111,5289.0,5289.0,False,5289.0
60,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",5289.0,5243,5362.0,5362.0,False,5362.0
61,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5629.0,5629,5671.0,5671.0,False,5671.0
62,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5671.0,5642,5707.0,5707.0,False,5707.0
63,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5709.0,5709,5781.0,5781.0,False,5781.0
66,execution_finished,"[0, 1, 2, 3, 4]",6036.0,6036,6101.0,6101.0,False,6101.0
70,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",6120.0,6120,6177.0,6177.0,False,6177.0
64,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6325.0,5901,6381.0,6381.0,False,6381.0
65,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",6381.0,6007,6477.0,6477.0,False,6477.0
67,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",6477.0,6039,6525.0,6525.0,False,6525.0
68,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",6525.0,6051,6641.0,6641.0,False,6641.0
69,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",6641.0,6114,6730.0,6730.0,False,6730.0
71,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",6730.0,6200,6812.0,6812.0,False,6812.0
72,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",6812.0,6205,6952.0,6952.0,False,6952.0
73,execution_finished,"[7, 8, 9, 10, 11, 12, 13]",6932.0,6211,7060.0,7060.0,False,7060.0
74,execution_finished,"[14, 15, 16, 17, 18, 19, 20, 21, 22]",6932.0,6384,7069.0,7069.0,False,7069.0
75,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7060.0,6771,7138.0,7138.0,False,7138.0
76,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16]",7069.0,6792,7176.0,7176.0,False,7176.0
77,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7138.0,6836,7194.0,7194.0,False,7194.0
78,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16]",7176.0,6853,7216.0,7216.0,False,7216.0
79,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7194.0,6878,7262.0,7262.0,False,7262.0
80,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16, 17]",7216.0,7096,7271.0,7271.0,False,7271.0
81,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7262.0,7163,7328.0,7328.0,False,7328.0
82,execution_finished,"[9, 10, 11, 12, 13, 14]",7298.0,7298,7430.0,7430.0,False,7430.0
83,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7526.0,7526,7638.0,7638.0,False,7638.0
84,execution_finished,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",7535.0,7535,7670.0,7670.0,False,7670.0
86,execution_finished,"[6, 7, 8, 9, 10, 11, 12, 13]",7670.0,7625,7721.0,7721.0,False,7721.0
85,execution_finished,"[0, 1, 2, 3, 4, 5]",7638.0,7581,7748.0,7748.0,False,7748.0
87,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8014.0,8014,8141.0,8141.0,False,8141.0
88,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8159.0,8159,8177.0,8177.0,False,8177.0
89,execution_finished,"[0, 1, 2, 3, 4, 5]",8234.0,8234,8312.0,8312.0,False,8312.0
90,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",8376.0,8376,8528.0,8528.0,False,8528.0
91,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8528.0,8428,8567.0,8567.0,False,8567.0
92,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8567.0,8467,8639.0,8639.0,False,8639.0
93,execution_finished,"[0, 1, 2, 3, 4, 5]",8639.0,8572,8732.0,8732.0,False,8732.0
94,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",8732.0,8648,8814.0,8814.0,False,8814.0
95,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8814.0,8711,8936.0,8936.0,False,8936.0
96,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8936.0,8834,9033.0,9033.0,False,9033.0
97,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",9033.0,8913,9090.0,9090.0,False,9090.0
98,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9090.0,8998,9159.0,9159.0,False,9159.0
99,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",9159.0,9024,9209.0,9209.0,False,9209.0
100,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9209.0,9091,9322.0,9322.0,False,9322.0
101,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9322.0,9192,9374.0,9374.0,False,9374.0
102,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9374.0,9274,9445.0,9445.0,False,9445.0
103,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",9445.0,9309,9542.0,9542.0,False,9542.0
104,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",9565.0,9565,9636.0,9636.0,False,9636.0
105,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9932.0,9932,9986.0,9986.0,False,9986.0
106,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10023.0,10023,10104.0,10104.0,False,10104.0
107,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10104.0,10060,10167.0,10167.0,False,10167.0
108,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",10167.0,10072,10228.0,10228.0,False,10228.0
110,execution_finished,"[0, 1, 2, 3, 4, 5]",10272.0,10215,10384.0,10384.0,False,10384.0
111,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10420.0,10272,10484.0,10484.0,False,10484.0
109,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10604.0,10134,10683.0,10683.0,False,10683.0
112,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",10683.0,10420,10732.0,10732.0,False,10732.0
113,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10732.0,10520,10784.0,10784.0,False,10784.0
114,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",10784.0,10679,10830.0,10830.0,False,10830.0
115,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",10830.0,10737,10904.0,10904.0,False,10904.0
116,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",10904.0,10819,11010.0,11010.0,False,11010.0
117,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",11016.0,11016,11069.0,11069.0,False,11069.0
118,execution_finished,"[0, 1, 2, 3, 4, 5]",11141.0,11141,11183.0,11183.0,False,11183.0
119,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",11207.0,11207,11300.0,11300.0,False,11300.0
120,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",11334.0,11334,11393.0,11393.0,False,11393.0
121,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",11393.0,11341,11477.0,11477.0,False,11477.0
122,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",11477.0,11417,11494.0,11494.0,False,11494.0
124,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",11858.0,11728,11947.0,11947.0,False,11947.0
123,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",12067.0,11639,12169.0,12169.0,False,12169.0
