id,energy_consumption,energy_effective,energy_waste
0,3580550.0,2293300.0,1287250.0
1,3580550.0,2293300.0,1287250.0
2,3580550.0,2293300.0,1287250.0
3,3580550.0,2293300.0,1287250.0
4,3580550.0,2293300.0,1287250.0
5,3580550.0,2257010.0,1323540.0
6,3580550.0,2065870.0,1514680.0
7,3536567.0,1591630.0,1944937.0
8,3287873.0,1074450.0,2213423.0
9,2194995.0,698250.0,1496745.0
10,1711182.0,643720.0,1067462.0
11,1568554.0,630800.0,937754.0
12,1568554.0,630800.0,937754.0
13,1556789.0,621490.0,935299.0
14,1559142.0,578740.0,980402.0
15,1538146.0,480320.0,1057826.0
16,1440587.0,362710.0,1077877.0
17,1203839.0,224960.0,978879.0
18,1203839.0,188670.0,1015169.0
19,980485.0,150480.0,830005.0
20,980485.0,129960.0,850525.0
21,842744.0,122170.0,720574.0
22,852156.0,118180.0,733976.0
23,645635.0,75240.0,570395.0
24,645635.0,83790.0,561845.0
25,645635.0,59280.0,586355.0
26,433865.0,24130.0,409735.0
27,433865.0,24130.0,409735.0
28,433865.0,24130.0,409735.0
29,433865.0,24130.0,409735.0
30,433865.0,24130.0,409735.0
31,433865.0,24130.0,409735.0
