id,energy_consumption,energy_effective,energy_waste
0,3564590.0,1767570.0,1797020.0
1,3564590.0,1767570.0,1797020.0
2,3564590.0,1767570.0,1797020.0
3,3564590.0,1767570.0,1797020.0
4,3564590.0,1767570.0,1797020.0
5,3564590.0,1759970.0,1804620.0
6,3564590.0,1590300.0,1974290.0
7,3564590.0,1423290.0,2141300.0
8,3564590.0,1177430.0,2387160.0
9,3564590.0,912760.0,2651830.0
10,3564590.0,867160.0,2697430.0
11,3564590.0,854240.0,2710350.0
12,3564590.0,851200.0,2713390.0
13,3564590.0,870770.0,2693820.0
14,3564590.0,843600.0,2720990.0
15,3564590.0,698630.0,2865960.0
16,3564590.0,520220.0,3044370.0
17,3564590.0,452200.0,3112390.0
18,3564590.0,397100.0,3167490.0
19,3564590.0,347510.0,3217080.0
20,3564590.0,326990.0,3237600.0
21,3564590.0,279300.0,3285290.0
22,3564590.0,310270.0,3254320.0
23,3318792.0,232940.0,3085852.0
24,3318792.0,218690.0,3100102.0
25,3290918.0,159220.0,3131698.0
26,2605290.0,101840.0,2503450.0
27,2605290.0,101840.0,2503450.0
28,2605290.0,101840.0,2503450.0
29,2605290.0,101840.0,2503450.0
30,2315690.0,36670.0,2279020.0
31,2315690.0,24130.0,2291560.0
