id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1785620.0,1779730.0
1,3565350.0,1785620.0,1779730.0
2,3565350.0,1785620.0,1779730.0
3,3565350.0,1785620.0,1779730.0
4,3565350.0,1785620.0,1779730.0
5,3565350.0,1778020.0,1787330.0
6,3565350.0,1608350.0,1957000.0
7,3565350.0,1437920.0,2127430.0
8,3565350.0,1142470.0,2422880.0
9,3565350.0,888060.0,2677290.0
10,3565350.0,851580.0,2713770.0
11,3565350.0,838660.0,2726690.0
12,3565350.0,843980.0,2721370.0
13,3565350.0,863550.0,2701800.0
14,3565350.0,855190.0,2710160.0
15,3565350.0,720100.0,2845250.0
16,3565350.0,541690.0,3023660.0
17,3565350.0,486210.0,3079140.0
18,3565350.0,400520.0,3164830.0
19,3565350.0,381520.0,3183830.0
20,3565350.0,358720.0,3206630.0
21,3565350.0,300200.0,3265150.0
22,3565350.0,283670.0,3281680.0
23,3425437.0,247760.0,3177677.0
24,3211857.0,187340.0,3024517.0
25,2752117.0,127870.0,2624247.0
26,1921508.0,57950.0,1863558.0
27,1928567.0,65360.0,1863207.0
28,1928567.0,65360.0,1863207.0
29,1928567.0,65360.0,1863207.0
30,1674262.0,50160.0,1624102.0
31,976145.0,24130.0,952015.0
