timeout,total_energy_waste,total_waiting_time
300,40793233.0,56.59
600,50471781.0,31.54
900,54524056.0,26.22
1200,54777771.0,20.655
1500,58179304.0,15.175
1800,64566070.0,11.58
2100,71418364.0,9.38
2400,73578961.0,7.06
2700,74559257.0,7.06
3000,75536657.0,7.06
3300,76427177.0,6.46
3600,77350277.0,6.46
