id,energy_consumption,energy_effective,energy_waste
0,3564590.0,1764150.0,1800440.0
1,3564590.0,1764150.0,1800440.0
2,3564590.0,1764150.0,1800440.0
3,3564590.0,1764150.0,1800440.0
4,3564590.0,1764150.0,1800440.0
5,3564590.0,1756550.0,1808040.0
6,3564590.0,1586880.0,1977710.0
7,3564590.0,1419870.0,2144720.0
8,3564590.0,1177430.0,2387160.0
9,3564590.0,912760.0,2651830.0
10,3564590.0,882170.0,2682420.0
11,3564590.0,869250.0,2695340.0
12,3564590.0,866210.0,2698380.0
13,3564590.0,885780.0,2678810.0
14,3564590.0,858610.0,2705980.0
15,3564590.0,713640.0,2850950.0
16,3564590.0,535230.0,3029360.0
17,3564590.0,467210.0,3097380.0
18,2902854.0,291270.0,2611584.0
19,2906655.0,269230.0,2637425.0
20,2906655.0,248710.0,2657945.0
21,2906655.0,232940.0,2673715.0
22,2906655.0,249660.0,2656995.0
23,2768190.0,221350.0,2546840.0
24,2693980.0,172900.0,2521080.0
25,3326394.0,241870.0,3084524.0
26,3204038.0,168530.0,3035508.0
27,3204038.0,168530.0,3035508.0
28,3204038.0,136610.0,3067428.0
29,3227387.0,150860.0,3076527.0
30,2717510.0,58330.0,2659180.0
31,2717510.0,36670.0,2680840.0
