id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1840910.0,1724440.0
1,3565350.0,1840910.0,1724440.0
2,3565350.0,1840910.0,1724440.0
3,3565350.0,1840910.0,1724440.0
4,3565350.0,1840910.0,1724440.0
5,3565350.0,1833310.0,1732040.0
6,3565350.0,1672760.0,1892590.0
7,3565350.0,1455400.0,2109950.0
8,3565350.0,1154250.0,2411100.0
9,3421274.0,800660.0,2620614.0
10,3401364.0,770070.0,2631294.0
11,3401364.0,770070.0,2631294.0
12,3401364.0,770070.0,2631294.0
13,3401364.0,789640.0,2611724.0
14,2919180.0,708700.0,2210480.0
15,3145430.0,635170.0,2510260.0
16,3102171.0,577220.0,2524951.0
17,3102171.0,499320.0,2602851.0
18,2983435.0,413820.0,2569615.0
19,3047871.0,402800.0,2645071.0
20,3047871.0,402800.0,2645071.0
21,2951398.0,336490.0,2614908.0
22,2913750.0,304000.0,2609750.0
23,2471386.0,250800.0,2220586.0
24,2341247.0,178980.0,2162267.0
25,2205859.0,123690.0,2082169.0
26,1958432.0,77900.0,1880532.0
27,1941056.0,56050.0,1885006.0
28,2115902.0,66500.0,2049402.0
29,1951373.0,65360.0,1886013.0
30,1425387.0,39710.0,1385677.0
31,1425387.0,39710.0,1385677.0
