id,energy_consumption,energy_effective,energy_waste
0,3591320.0,1821720.0,1769600.0
1,3591320.0,1821720.0,1769600.0
2,3591320.0,1821720.0,1769600.0
3,3591320.0,1821720.0,1769600.0
4,3591320.0,1821720.0,1769600.0
5,3569600.0,1805570.0,1764030.0
6,3490503.0,1638560.0,1851943.0
7,3215202.0,1345580.0,1869622.0
8,3076737.0,1216760.0,1859977.0
9,2710393.0,1010990.0,1699403.0
10,2572471.0,949240.0,1623231.0
11,2538443.0,929860.0,1608583.0
12,2538443.0,929860.0,1608583.0
13,2512922.0,911050.0,1601872.0
14,2433463.0,824030.0,1609433.0
15,2280337.0,734160.0,1546177.0
16,2068567.0,535420.0,1533147.0
17,1621316.0,429210.0,1192106.0
18,1561586.0,305140.0,1256446.0
19,1582582.0,287470.0,1295112.0
20,1404840.0,234080.0,1170760.0
21,1363753.0,197030.0,1166723.0
22,1202663.0,189810.0,1012853.0
23,1189450.0,193800.0,995650.0
24,796499.0,143070.0,653429.0
25,687356.0,115140.0,572216.0
26,561561.0,90630.0,470931.0
27,461106.0,64980.0,396126.0
28,461106.0,64980.0,396126.0
29,445178.0,48260.0,396918.0
30,445178.0,48260.0,396918.0
31,445178.0,48260.0,396918.0
