job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
55,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",4861.0,4741,4888.0,4888.0,False,4888.0
56,execution_finished,"[0, 1, 2, 3, 4, 5]",4913.0,4913,4993.0,4993.0,False,4993.0
57,execution_finished,"[6, 7, 8, 9, 10, 11, 12, 13]",4978.0,4978,5049.0,5049.0,False,5049.0
58,execution_finished,"[0, 1, 2, 3, 4, 5, 14, 15, 16]",5007.0,5007,5079.0,5079.0,False,5079.0
59,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",5111.0,5111,5176.0,5176.0,False,5176.0
60,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",5243.0,5243,5316.0,5316.0,False,5316.0
61,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",5762.0,5629,5804.0,5804.0,False,5804.0
62,execution_finished,"[15, 16, 17, 18, 19, 20, 21]",5829.0,5642,5865.0,5865.0,False,5865.0
63,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",5856.0,5709,5928.0,5928.0,False,5928.0
64,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",5901.0,5901,5957.0,5957.0,False,5957.0
66,execution_finished,"[10, 11, 12, 13, 14]",6036.0,6036,6101.0,6101.0,False,6101.0
65,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",6007.0,6007,6103.0,6103.0,False,6103.0
67,execution_finished,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",6101.0,6039,6149.0,6149.0,False,6149.0
68,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",6103.0,6051,6219.0,6219.0,False,6219.0
69,execution_finished,"[10, 11, 12, 13, 14, 15, 16, 17]",6149.0,6114,6238.0,6238.0,False,6238.0
71,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 8]",6219.0,6200,6301.0,6301.0,False,6301.0
70,execution_finished,"[18, 19, 20, 21, 7, 22, 23]",6269.0,6120,6326.0,6326.0,False,6326.0
72,execution_finished,"[9, 10, 11, 12, 13, 14, 15]",6238.0,6205,6378.0,6378.0,False,6378.0
73,execution_finished,"[16, 17, 24, 25, 26, 27, 28]",6358.0,6211,6486.0,6486.0,False,6486.0
74,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",6384.0,6384,6521.0,6521.0,False,6521.0
75,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",6771.0,6771,6849.0,6849.0,False,6849.0
76,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",6849.0,6792,6956.0,6956.0,False,6956.0
77,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 18]",6969.0,6836,7025.0,7025.0,False,7025.0
78,execution_finished,"[19, 20, 21, 22, 23, 29, 30, 31]",6998.0,6853,7038.0,7038.0,False,7038.0
79,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 16]",7076.0,6878,7144.0,7144.0,False,7144.0
80,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 18]",7096.0,7096,7151.0,7151.0,False,7151.0
81,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7163.0,7163,7229.0,7229.0,False,7229.0
82,execution_finished,"[0, 1, 2, 3, 4, 5]",7298.0,7298,7430.0,7430.0,False,7430.0
83,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",7526.0,7526,7638.0,7638.0,False,7638.0
85,execution_finished,"[0, 1, 2, 3, 4, 5]",7638.0,7581,7748.0,7748.0,False,7748.0
86,execution_finished,"[6, 7, 8, 9, 10, 11, 12, 13]",7758.0,7625,7809.0,7809.0,False,7809.0
84,execution_finished,"[16, 17, 19, 20, 21, 22, 23, 24, 25, 26]",7684.0,7535,7819.0,7819.0,False,7819.0
87,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",8014.0,8014,8141.0,8141.0,False,8141.0
88,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8159.0,8159,8177.0,8177.0,False,8177.0
89,execution_finished,"[0, 1, 2, 3, 4, 5]",8234.0,8234,8312.0,8312.0,False,8312.0
90,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",8376.0,8376,8528.0,8528.0,False,8528.0
91,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 14]",8561.0,8428,8600.0,8600.0,False,8600.0
93,execution_finished,"[7, 8, 9, 10, 11, 12]",8600.0,8572,8693.0,8693.0,False,8693.0
92,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 15, 16]",8648.0,8467,8720.0,8720.0,False,8720.0
94,execution_finished,"[7, 8, 9, 10, 11, 12, 13]",8693.0,8648,8775.0,8775.0,False,8775.0
95,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 14]",8720.0,8711,8842.0,8842.0,False,8842.0
96,execution_finished,"[7, 8, 9, 10, 11, 12, 13, 15, 16]",8834.0,8834,8931.0,8931.0,False,8931.0
97,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",8913.0,8913,8970.0,8970.0,False,8970.0
98,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",8998.0,8998,9067.0,9067.0,False,9067.0
99,execution_finished,"[8, 9, 10, 11, 12, 13, 14]",9024.0,9024,9074.0,9074.0,False,9074.0
100,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",9091.0,9091,9204.0,9204.0,False,9204.0
101,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",9192.0,9192,9244.0,9244.0,False,9244.0
102,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9274.0,9274,9345.0,9345.0,False,9345.0
103,execution_finished,"[9, 10, 11, 12, 13, 14, 15]",9309.0,9309,9406.0,9406.0,False,9406.0
104,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",9565.0,9565,9636.0,9636.0,False,9636.0
105,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",10052.0,9932,10106.0,10106.0,False,10106.0
106,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",10172.0,10023,10253.0,10253.0,False,10253.0
107,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 17]",10226.0,10060,10289.0,10289.0,False,10289.0
108,execution_finished,"[8, 9, 10, 11, 12, 13, 14, 15]",10253.0,10072,10314.0,10314.0,False,10314.0
109,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7, 16, 17]",10289.0,10134,10368.0,10368.0,False,10368.0
110,execution_finished,"[8, 9, 10, 11, 12, 13]",10314.0,10215,10426.0,10426.0,False,10426.0
112,execution_finished,"[0, 1, 2, 3, 4, 5, 6, 7]",10420.0,10420,10469.0,10469.0,False,10469.0
111,execution_finished,"[14, 15, 18, 19, 20, 21, 22, 23, 24]",10434.0,10272,10498.0,10498.0,False,10498.0
