id,energy_consumption,energy_effective,energy_waste
0,3564590.0,1764150.0,1800440.0
1,3564590.0,1764150.0,1800440.0
2,3564590.0,1764150.0,1800440.0
3,3564590.0,1764150.0,1800440.0
4,3564590.0,1764150.0,1800440.0
5,3564590.0,1756550.0,1808040.0
6,3564590.0,1586880.0,1977710.0
7,3564590.0,1419870.0,2144720.0
8,3564590.0,1177430.0,2387160.0
9,3564590.0,912760.0,2651830.0
10,3564590.0,882170.0,2682420.0
11,3564590.0,869250.0,2695340.0
12,3564590.0,866210.0,2698380.0
13,3564590.0,885780.0,2678810.0
14,3564590.0,858610.0,2705980.0
15,3564590.0,713640.0,2850950.0
16,3564590.0,535230.0,3029360.0
17,3564590.0,467210.0,3097380.0
18,2848554.0,291270.0,2557284.0
19,2852355.0,269230.0,2583125.0
20,2852355.0,248710.0,2603645.0
21,2852355.0,232940.0,2619415.0
22,2852355.0,249660.0,2602695.0
23,2659590.0,221350.0,2438240.0
24,2531080.0,172900.0,2358180.0
25,3163494.0,241870.0,2921624.0
26,3041138.0,168530.0,2872608.0
27,3041138.0,168530.0,2872608.0
28,3041138.0,136610.0,2904528.0
29,3064487.0,150860.0,2913627.0
30,2500310.0,58330.0,2441980.0
31,2500310.0,36670.0,2463640.0
