id,energy_consumption,energy_effective,energy_waste
0,3580550.0,1980750.0,1599800.0
1,3580550.0,1980750.0,1599800.0
2,3580550.0,1980750.0,1599800.0
3,3580550.0,1980750.0,1599800.0
4,3580550.0,1980750.0,1599800.0
5,3580550.0,1973150.0,1607400.0
6,3580550.0,1801390.0,1779160.0
7,3580550.0,1619750.0,1960800.0
8,3580550.0,1346530.0,2234020.0
9,3580550.0,1035310.0,2545240.0
10,3580550.0,922640.0,2657910.0
11,3580550.0,909720.0,2670830.0
12,3580550.0,893380.0,2687170.0
13,3580550.0,838090.0,2742460.0
14,3580550.0,793820.0,2786730.0
15,3580550.0,597360.0,2983190.0
16,1937975.0,300200.0,1637775.0
17,1937975.0,213750.0,1724225.0
18,1937975.0,201970.0,1736005.0
19,1700684.0,167200.0,1533484.0
20,1700684.0,146680.0,1554004.0
21,1700684.0,146680.0,1554004.0
22,1273705.0,106970.0,1166735.0
23,961299.0,92150.0,869149.0
24,961299.0,100700.0,860599.0
25,961299.0,76190.0,885109.0
26,961299.0,41040.0,920259.0
27,961299.0,41040.0,920259.0
28,961299.0,41040.0,920259.0
29,961299.0,41040.0,920259.0
30,705365.0,24130.0,681235.0
31,705365.0,24130.0,681235.0
