timeout,total_energy_waste,total_waiting_time
300,55445476.0,12.975
600,66418835.0,8.95
900,69764386.0,5.25
1200,73411355.0,4.025
1500,73859873.0,3.565
1800,76010696.0,2.89
2100,78023712.0,2.315
2400,77471300.0,1.16
2700,79563479.0,1.16
3000,81355379.0,1.16
3300,82566812.0,1.0
3600,83116032.0,1.245
