id,energy_consumption,energy_effective,energy_waste
0,3580550.0,1918050.0,1662500.0
1,3580550.0,1918050.0,1662500.0
2,3580550.0,1918050.0,1662500.0
3,3580550.0,1918050.0,1662500.0
4,3580550.0,1918050.0,1662500.0
5,3580550.0,1910450.0,1670100.0
6,3580550.0,1713800.0,1866750.0
7,3580550.0,1549070.0,2031480.0
8,3580550.0,1313660.0,2266890.0
9,3580550.0,1049180.0,2531370.0
10,3580550.0,996360.0,2584190.0
11,3580550.0,983440.0,2597110.0
12,3580550.0,967100.0,2613450.0
13,3580550.0,927580.0,2652970.0
14,3580550.0,883310.0,2697240.0
15,3580550.0,667660.0,2912890.0
16,3580550.0,378860.0,3201690.0
17,2905782.0,246620.0,2659162.0
18,2155175.0,190950.0,1964225.0
19,1907386.0,156180.0,1751206.0
20,1907386.0,135660.0,1771726.0
21,1907386.0,135660.0,1771726.0
22,1907386.0,122550.0,1784836.0
23,1178499.0,92150.0,1086349.0
24,1178499.0,100700.0,1077799.0
25,1178499.0,76190.0,1102309.0
26,1178499.0,41040.0,1137459.0
27,1178499.0,41040.0,1137459.0
28,1178499.0,41040.0,1137459.0
29,1178499.0,41040.0,1137459.0
30,922565.0,24130.0,898435.0
31,922565.0,24130.0,898435.0
