job_id,subtime,start_time,finish_time,waiting_time
1,60,60.0,166.0,0.0
2,94,94.0,250.0,0.0
3,249,249.0,350.0,0.0
6,321,321.0,389.0,0.0
4,269,269.0,391.0,0.0
5,313,313.0,413.0,0.0
7,350,350.0,489.0,0.0
8,484,484.0,575.0,0.0
10,563,563.0,608.0,0.0
9,547,547.0,655.0,0.0
11,602,602.0,731.0,0.0
12,656,656.0,742.0,0.0
13,748,748.0,841.0,0.0
16,801,801.0,860.0,0.0
15,800,800.0,866.0,0.0
14,780,780.0,894.0,0.0
17,844,844.0,953.0,0.0
18,894,894.0,1002.0,0.0
19,1044,1044.0,1118.0,0.0
20,1154,1154.0,1280.0,0.0
21,1220,1220.0,1307.0,0.0
22,1258,1258.0,1313.0,0.0
23,1283,1283.0,1345.0,0.0
24,1598,1598.0,1704.0,0.0
25,1647,1647.0,1708.0,0.0
27,1827,1827.0,1912.0,0.0
26,1778,1778.0,1935.0,0.0
28,1900,1900.0,2030.0,0.0
29,1979,1979.0,2038.0,0.0
30,2066,2066.0,2161.0,0.0
31,2100,2100.0,2225.0,0.0
33,2173,2173.0,2244.0,0.0
32,2152,2152.0,2262.0,0.0
34,2185,2185.0,2274.0,0.0
35,2311,2311.0,2355.0,0.0
36,2422,2422.0,2478.0,0.0
37,2521,2521.0,2614.0,0.0
38,2623,2623.0,2700.0,0.0
39,2869,2869.0,2945.0,0.0
40,3026,3026.0,3080.0,0.0
41,3176,3176.0,3217.0,0.0
42,3305,3305.0,3373.0,0.0
44,3676,3676.0,3752.0,0.0
43,3676,3676.0,3795.0,0.0
46,3906,3906.0,3998.0,0.0
45,3867,3867.0,4012.0,0.0
47,3922,3998.0,4076.0,76.0
48,4038,4038.0,4083.0,0.0
49,4103,4103.0,4174.0,0.0
50,4198,4198.0,4317.0,0.0
51,4363,4363.0,4459.0,0.0
52,4466,4466.0,4625.0,0.0
53,4586,4586.0,4648.0,0.0
54,4586,4625.0,4673.0,39.0
55,4741,4741.0,4768.0,0.0
56,4913,4913.0,4993.0,0.0
57,4978,4978.0,5049.0,0.0
58,5007,5049.0,5121.0,42.0
59,5111,5121.0,5186.0,10.0
60,5243,5243.0,5316.0,0.0
61,5629,5629.0,5671.0,0.0
62,5642,5642.0,5678.0,0.0
63,5709,5709.0,5781.0,0.0
64,5901,5901.0,5957.0,0.0
66,6036,6036.0,6101.0,0.0
65,6007,6007.0,6103.0,0.0
67,6039,6103.0,6151.0,64.0
68,6051,6151.0,6267.0,100.0
69,6114,6267.0,6356.0,153.0
70,6120,6356.0,6413.0,236.0
71,6200,6413.0,6495.0,213.0
73,6211,6495.0,6623.0,284.0
72,6205,6495.0,6635.0,290.0
74,6384,6635.0,6772.0,251.0
75,6771,6772.0,6850.0,1.0
76,6792,6850.0,6957.0,58.0
77,6836,6957.0,7013.0,121.0
78,6853,7013.0,7053.0,160.0
79,6878,7053.0,7121.0,175.0
80,7096,7121.0,7176.0,25.0
81,7163,7176.0,7242.0,13.0
82,7298,7298.0,7430.0,0.0
83,7526,7526.0,7638.0,0.0
84,7535,7638.0,7773.0,103.0
86,7625,7773.0,7824.0,148.0
85,7581,7773.0,7883.0,192.0
87,8014,8014.0,8141.0,0.0
88,8159,8159.0,8177.0,0.0
89,8234,8234.0,8312.0,0.0
90,8376,8376.0,8528.0,0.0
91,8428,8528.0,8567.0,100.0
92,8467,8567.0,8639.0,100.0
94,8648,8648.0,8730.0,0.0
93,8572,8639.0,8732.0,67.0
95,8711,8730.0,8852.0,19.0
96,8834,8852.0,8949.0,18.0
97,8913,8949.0,9006.0,36.0
98,8998,9006.0,9075.0,8.0
99,9024,9075.0,9125.0,51.0
100,9091,9125.0,9238.0,34.0
101,9192,9238.0,9290.0,46.0
102,9274,9290.0,9361.0,16.0
103,9309,9361.0,9458.0,52.0
104,9565,9565.0,9636.0,0.0
105,9932,9932.0,9986.0,0.0
106,10023,10023.0,10104.0,0.0
107,10060,10104.0,10167.0,44.0
108,10072,10167.0,10228.0,95.0
109,10134,10228.0,10307.0,94.0
110,10215,10307.0,10419.0,92.0
111,10272,10419.0,10483.0,147.0
112,10420,10483.0,10532.0,63.0
113,10520,10532.0,10584.0,12.0
114,10679,10679.0,10725.0,0.0
115,10737,10737.0,10811.0,0.0
116,10819,10819.0,10925.0,0.0
117,11016,11016.0,11069.0,0.0
118,11141,11141.0,11183.0,0.0
119,11207,11207.0,11300.0,0.0
120,11334,11334.0,11393.0,0.0
121,11341,11393.0,11477.0,52.0
122,11417,11477.0,11494.0,60.0
123,11639,11639.0,11741.0,0.0
124,11728,11741.0,11830.0,13.0
125,11858,11858.0,11926.0,0.0
126,11862,11926.0,12000.0,64.0
127,11905,12000.0,12097.0,95.0
128,12029,12097.0,12231.0,68.0
129,12072,12231.0,12320.0,159.0
130,12086,12320.0,12361.0,234.0
131,12146,12361.0,12488.0,215.0
132,12181,12488.0,12590.0,307.0
133,12349,12590.0,12648.0,241.0
134,12371,12648.0,12772.0,277.0
135,12566,12772.0,12821.0,206.0
136,12656,12821.0,12911.0,165.0
137,12704,12911.0,13029.0,207.0
138,12799,13029.0,13086.0,230.0
139,12888,13086.0,13130.0,198.0
140,12977,13130.0,13212.0,153.0
141,13201,13212.0,13301.0,11.0
142,13509,13509.0,13625.0,0.0
143,13636,13636.0,13704.0,0.0
144,13674,13704.0,13787.0,30.0
145,13762,13787.0,13847.0,25.0
146,13841,13847.0,13879.0,6.0
147,13889,13889.0,13962.0,0.0
148,14025,14025.0,14060.0,0.0
149,14062,14062.0,14181.0,0.0
150,14130,14181.0,14271.0,51.0
151,14206,14271.0,14347.0,65.0
152,14255,14347.0,14433.0,92.0
153,14279,14433.0,14503.0,154.0
154,14314,14503.0,14589.0,189.0
155,14326,14589.0,14724.0,263.0
156,14368,14724.0,14885.0,356.0
