id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1839960.0,1725390.0
1,3565350.0,1839960.0,1725390.0
2,3565350.0,1839960.0,1725390.0
3,3565350.0,1839960.0,1725390.0
4,3565350.0,1839960.0,1725390.0
5,3565350.0,1832360.0,1732990.0
6,3565350.0,1657560.0,1907790.0
7,3565350.0,1471360.0,2093990.0
8,3565350.0,1193200.0,2372150.0
9,3565350.0,909910.0,2655440.0
10,3565350.0,847590.0,2717760.0
11,3536028.0,834670.0,2701358.0
12,3536028.0,818330.0,2717698.0
13,3536028.0,837900.0,2698128.0
14,3543449.0,785460.0,2757989.0
15,3526616.0,654170.0,2872446.0
16,3116651.0,492860.0,2623791.0
17,3079546.0,426930.0,2652616.0
18,3091854.0,395390.0,2696464.0
19,2979272.0,345420.0,2633852.0
20,2979272.0,324900.0,2654372.0
21,3013662.0,305140.0,2708522.0
22,2908320.0,292030.0,2616290.0
23,2792118.0,201210.0,2590908.0
24,2556999.0,160170.0,2396829.0
25,2237353.0,109060.0,2128293.0
26,2168392.0,50730.0,2117662.0
27,2168392.0,50730.0,2117662.0
28,2168392.0,50730.0,2117662.0
29,2168392.0,50730.0,2117662.0
30,1929472.0,50730.0,1878742.0
31,1556069.0,50730.0,1505339.0
