job_id,subtime,start_time,finish_time,waiting_time
1,60,60.0,166.0,0.0
2,94,94.0,250.0,0.0
3,249,249.0,350.0,0.0
4,269,269.0,391.0,0.0
5,313,350.0,450.0,37.0
6,321,391.0,459.0,70.0
8,484,484.0,575.0,0.0
7,350,450.0,589.0,100.0
10,563,589.0,634.0,26.0
9,547,575.0,683.0,28.0
12,656,683.0,769.0,27.0
11,602,683.0,812.0,81.0
13,748,812.0,905.0,64.0
14,780,800.0,914.0,20.0
15,800,905.0,971.0,105.0
16,801,914.0,973.0,113.0
17,844,971.0,1080.0,127.0
18,894,1080.0,1188.0,186.0
19,1044,1188.0,1262.0,144.0
20,1154,1188.0,1314.0,34.0
21,1220,1262.0,1349.0,42.0
22,1258,1314.0,1369.0,56.0
23,1283,1349.0,1411.0,66.0
24,1598,1598.0,1704.0,0.0
25,1647,1704.0,1765.0,57.0
26,1778,1778.0,1935.0,0.0
27,1827,1935.0,2020.0,108.0
28,1900,2020.0,2150.0,120.0
29,1979,2150.0,2209.0,171.0
30,2066,2209.0,2304.0,143.0
31,2100,2304.0,2429.0,204.0
32,2152,2429.0,2539.0,277.0
33,2173,2539.0,2610.0,366.0
34,2185,2610.0,2699.0,425.0
35,2311,2699.0,2743.0,388.0
36,2422,2743.0,2799.0,321.0
37,2521,2959.0,3052.0,438.0
38,2623,3052.0,3129.0,429.0
39,2869,3129.0,3205.0,260.0
40,3026,3205.0,3259.0,179.0
41,3176,3259.0,3300.0,83.0
42,3305,3796.0,3864.0,491.0
43,3676,3864.0,3983.0,188.0
44,3676,3983.0,4059.0,307.0
45,3867,4059.0,4204.0,192.0
46,3906,4204.0,4296.0,298.0
47,3922,4296.0,4374.0,374.0
48,4038,4374.0,4419.0,336.0
49,4103,4419.0,4490.0,316.0
51,4363,4490.0,4586.0,127.0
50,4198,4706.0,4825.0,508.0
52,4466,4825.0,4984.0,359.0
53,4586,4984.0,5046.0,398.0
54,4586,5046.0,5094.0,460.0
55,4741,5094.0,5121.0,353.0
56,4913,5121.0,5201.0,208.0
57,4978,5201.0,5272.0,223.0
58,5007,5272.0,5344.0,265.0
59,5111,5344.0,5409.0,233.0
60,5243,5409.0,5482.0,166.0
61,5629,5629.0,5671.0,0.0
62,5642,5671.0,5707.0,29.0
63,5709,5709.0,5781.0,0.0
66,6036,6036.0,6101.0,0.0
64,5901,6321.0,6377.0,420.0
65,6007,6377.0,6473.0,370.0
67,6039,6473.0,6521.0,434.0
68,6051,6521.0,6637.0,470.0
69,6114,6637.0,6726.0,523.0
70,6120,6726.0,6783.0,606.0
71,6200,6783.0,6865.0,583.0
72,6205,6865.0,7005.0,660.0
73,6211,6985.0,7113.0,774.0
74,6384,6985.0,7122.0,601.0
75,6771,7113.0,7191.0,342.0
76,6792,7122.0,7229.0,330.0
77,6836,7191.0,7247.0,355.0
78,6853,7229.0,7269.0,376.0
79,6878,7247.0,7315.0,369.0
80,7096,7269.0,7324.0,173.0
81,7163,7315.0,7381.0,152.0
82,7298,7324.0,7456.0,26.0
83,7526,7526.0,7638.0,0.0
84,7535,7638.0,7773.0,103.0
85,7581,7773.0,7883.0,192.0
86,7625,7883.0,7934.0,258.0
87,8014,8014.0,8141.0,0.0
88,8159,8159.0,8177.0,0.0
89,8234,8234.0,8312.0,0.0
90,8376,8376.0,8528.0,0.0
93,8572,8572.0,8665.0,0.0
94,8648,8665.0,8747.0,17.0
91,8428,8867.0,8906.0,439.0
92,8467,8948.0,9020.0,481.0
95,8711,8906.0,9028.0,195.0
97,8913,9028.0,9085.0,115.0
96,8834,9020.0,9117.0,186.0
98,8998,9085.0,9154.0,87.0
99,9024,9117.0,9167.0,93.0
101,9192,9192.0,9244.0,0.0
100,9091,9154.0,9267.0,63.0
102,9274,9274.0,9345.0,0.0
103,9309,9309.0,9406.0,0.0
104,9565,9565.0,9636.0,0.0
105,9932,10392.0,10446.0,460.0
108,10072,10446.0,10507.0,374.0
107,10060,10512.0,10575.0,452.0
106,10023,10512.0,10593.0,489.0
111,10272,10593.0,10657.0,321.0
110,10215,10575.0,10687.0,360.0
109,10134,10627.0,10706.0,493.0
112,10420,10657.0,10706.0,237.0
113,10520,10687.0,10739.0,167.0
114,10679,10706.0,10752.0,27.0
115,10737,10737.0,10811.0,0.0
116,10819,10819.0,10925.0,0.0
117,11016,11016.0,11069.0,0.0
118,11141,11141.0,11183.0,0.0
119,11207,11207.0,11300.0,0.0
120,11334,11334.0,11393.0,0.0
121,11341,11393.0,11477.0,52.0
122,11417,11848.0,11865.0,431.0
124,11728,11865.0,11954.0,137.0
123,11639,12074.0,12176.0,435.0
125,11858,12176.0,12244.0,318.0
126,11862,12244.0,12318.0,382.0
127,11905,12318.0,12415.0,413.0
128,12029,12415.0,12549.0,386.0
130,12086,12535.0,12576.0,449.0
129,12072,12535.0,12624.0,463.0
131,12146,12576.0,12703.0,430.0
132,12181,12624.0,12726.0,443.0
133,12349,12703.0,12761.0,354.0
135,12566,12761.0,12810.0,195.0
134,12371,12726.0,12850.0,355.0
136,12656,12810.0,12900.0,154.0
138,12799,12900.0,12957.0,101.0
137,12704,12850.0,12968.0,146.0
139,12888,12957.0,13001.0,69.0
140,12977,12977.0,13059.0,0.0
141,13201,13201.0,13290.0,0.0
142,13509,13509.0,13625.0,0.0
143,13636,13636.0,13704.0,0.0
144,13674,13704.0,13787.0,30.0
145,13762,13787.0,13847.0,25.0
146,13841,13847.0,13879.0,6.0
147,13889,13889.0,13962.0,0.0
148,14025,14025.0,14060.0,0.0
149,14062,14062.0,14181.0,0.0
150,14130,14181.0,14271.0,51.0
151,14206,14271.0,14347.0,65.0
152,14255,14347.0,14433.0,92.0
153,14279,14433.0,14503.0,154.0
155,14326,14503.0,14638.0,177.0
154,14314,14758.0,14844.0,444.0
156,14368,14844.0,15005.0,476.0
