id,energy_consumption,energy_effective,energy_waste
0,3420688.0,2330540.0,1090148.0
1,3128373.0,2142250.0,986123.0
2,3128373.0,2142250.0,986123.0
3,3128373.0,2142250.0,986123.0
4,3128373.0,2142250.0,986123.0
5,3128373.0,2118310.0,1010063.0
6,2962034.0,1837300.0,1124734.0
7,2512973.0,1271670.0,1241303.0
8,3011266.0,1448750.0,1562516.0
9,2396952.0,1141520.0,1255432.0
10,1879292.0,955890.0,923402.0
11,1618471.0,790970.0,827501.0
12,1645802.0,846640.0,799162.0
13,1635304.0,822130.0,813174.0
14,1581185.0,735680.0,845505.0
15,1521274.0,568670.0,952604.0
16,899720.0,225150.0,674570.0
17,909313.0,233320.0,675993.0
18,653922.0,100320.0,553602.0
19,529032.0,76950.0,452082.0
20,529032.0,76950.0,452082.0
21,445591.0,69160.0,376431.0
22,445591.0,69160.0,376431.0
23,445591.0,47880.0,397711.0
24,344774.0,21850.0,322924.0
25,315090.0,11970.0,303120.0
26,317986.0,15010.0,302976.0
27,317986.0,15010.0,302976.0
28,227667.0,0.0,227667.0
29,227667.0,0.0,227667.0
30,227667.0,0.0,227667.0
31,227667.0,0.0,227667.0
