id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1775930.0,1789420.0
1,3565350.0,1775930.0,1789420.0
2,3565350.0,1775930.0,1789420.0
3,3565350.0,1775930.0,1789420.0
4,3565350.0,1775930.0,1789420.0
5,3565350.0,1768330.0,1797020.0
6,3565350.0,1607780.0,1957570.0
7,3565350.0,1437350.0,2128000.0
8,3565350.0,1130310.0,2435040.0
9,3565350.0,882170.0,2683180.0
10,3565350.0,860700.0,2704650.0
11,3565350.0,847780.0,2717570.0
12,3565350.0,853100.0,2712250.0
13,3565350.0,872670.0,2692680.0
14,3565350.0,864310.0,2701040.0
15,3565350.0,732260.0,2833090.0
16,3512860.0,553850.0,2959010.0
17,3512860.0,498370.0,3014490.0
18,3493855.0,403940.0,3089915.0
19,3475936.0,382090.0,3093846.0
20,3475936.0,359290.0,3116646.0
21,3437564.0,300770.0,3136794.0
22,3432677.0,284240.0,3148437.0
23,2853839.0,248330.0,2605509.0
24,2583425.0,187910.0,2395515.0
25,1622496.0,116280.0,1506216.0
26,1378508.0,57950.0,1320558.0
27,1385567.0,65360.0,1320207.0
28,1385567.0,65360.0,1320207.0
29,1385567.0,65360.0,1320207.0
30,1131262.0,50160.0,1081102.0
31,704645.0,24130.0,680515.0
