id,energy_consumption,energy_effective,energy_waste
0,3582070.0,1900760.0,1681310.0
1,3582070.0,1900760.0,1681310.0
2,3582070.0,1900760.0,1681310.0
3,3582070.0,1900760.0,1681310.0
4,3582070.0,1900760.0,1681310.0
5,3582070.0,1893160.0,1688910.0
6,3582070.0,1688150.0,1893920.0
7,3582070.0,1443810.0,2138260.0
8,3582070.0,1179330.0,2402740.0
9,3582070.0,949810.0,2632260.0
10,3582070.0,928340.0,2653730.0
11,3582070.0,915420.0,2666650.0
12,3582070.0,899080.0,2682990.0
13,3582070.0,918650.0,2663420.0
14,3582070.0,887300.0,2694770.0
15,3582070.0,659110.0,2922960.0
16,3092827.0,452010.0,2640817.0
17,2785127.0,351690.0,2433437.0
18,1936780.0,225150.0,1711630.0
19,2047009.0,241490.0,1805519.0
20,2047009.0,220970.0,1826039.0
21,2047009.0,220970.0,1826039.0
22,2000130.0,185060.0,1815070.0
23,1965378.0,192850.0,1772528.0
24,1583830.0,144400.0,1439430.0
25,1156127.0,86830.0,1069297.0
26,852771.0,41040.0,811731.0
27,852771.0,41040.0,811731.0
28,852771.0,41040.0,811731.0
29,852771.0,41040.0,811731.0
30,596837.0,24130.0,572707.0
31,596837.0,24130.0,572707.0
