job_id,subtime,start_time,finish_time,waiting_time
1,60,60.0,166.0,0.0
2,94,94.0,250.0,0.0
3,249,249.0,350.0,0.0
6,321,321.0,389.0,0.0
4,269,269.0,391.0,0.0
5,313,313.0,413.0,0.0
7,350,350.0,489.0,0.0
8,484,484.0,575.0,0.0
10,563,563.0,608.0,0.0
9,547,547.0,655.0,0.0
11,602,602.0,731.0,0.0
12,656,656.0,742.0,0.0
13,748,748.0,841.0,0.0
16,801,801.0,860.0,0.0
15,800,800.0,866.0,0.0
14,780,780.0,894.0,0.0
17,844,844.0,953.0,0.0
18,894,894.0,1002.0,0.0
19,1044,1044.0,1118.0,0.0
20,1154,1154.0,1280.0,0.0
21,1220,1220.0,1307.0,0.0
22,1258,1258.0,1313.0,0.0
23,1283,1283.0,1345.0,0.0
24,1598,1598.0,1704.0,0.0
25,1647,1647.0,1708.0,0.0
27,1827,1827.0,1912.0,0.0
26,1778,1778.0,1935.0,0.0
28,1900,1900.0,2030.0,0.0
29,1979,1979.0,2038.0,0.0
30,2066,2066.0,2161.0,0.0
31,2100,2100.0,2225.0,0.0
33,2173,2173.0,2244.0,0.0
32,2152,2152.0,2262.0,0.0
34,2185,2225.0,2314.0,40.0
35,2311,2311.0,2355.0,0.0
36,2422,2422.0,2478.0,0.0
37,2521,2521.0,2614.0,0.0
38,2623,2623.0,2700.0,0.0
39,2869,2869.0,2945.0,0.0
40,3026,3026.0,3080.0,0.0
41,3176,3176.0,3217.0,0.0
42,3305,3754.0,3822.0,449.0
43,3676,3822.0,3941.0,146.0
44,3676,3941.0,4017.0,265.0
45,3867,4017.0,4162.0,150.0
46,3906,4162.0,4254.0,256.0
47,3922,4254.0,4332.0,332.0
48,4038,4332.0,4377.0,294.0
49,4103,4377.0,4448.0,274.0
50,4198,4448.0,4567.0,250.0
51,4363,4567.0,4663.0,204.0
52,4466,4663.0,4822.0,197.0
53,4586,4822.0,4884.0,236.0
54,4586,4884.0,4932.0,298.0
55,4741,4932.0,4959.0,191.0
56,4913,4959.0,5039.0,46.0
57,4978,5039.0,5110.0,61.0
58,5007,5110.0,5182.0,103.0
59,5111,5182.0,5247.0,71.0
60,5243,5247.0,5320.0,4.0
61,5629,5629.0,5671.0,0.0
62,5642,5671.0,5707.0,29.0
63,5709,5709.0,5781.0,0.0
65,6007,6036.0,6132.0,29.0
66,6036,6132.0,6197.0,96.0
68,6051,6197.0,6313.0,146.0
64,5901,6325.0,6381.0,424.0
69,6114,6313.0,6402.0,199.0
67,6039,6381.0,6429.0,342.0
70,6120,6402.0,6459.0,282.0
71,6200,6429.0,6511.0,229.0
72,6205,6459.0,6599.0,254.0
73,6211,6511.0,6639.0,300.0
74,6384,6599.0,6736.0,215.0
75,6771,6771.0,6849.0,0.0
76,6792,6792.0,6899.0,0.0
77,6836,6849.0,6905.0,13.0
78,6853,6899.0,6939.0,46.0
79,6878,6905.0,6973.0,27.0
80,7096,7096.0,7151.0,0.0
81,7163,7163.0,7229.0,0.0
82,7298,7298.0,7430.0,0.0
83,7526,7526.0,7638.0,0.0
85,7581,7625.0,7735.0,44.0
84,7535,7638.0,7773.0,103.0
86,7625,7773.0,7824.0,148.0
87,8014,8014.0,8141.0,0.0
88,8159,8159.0,8177.0,0.0
89,8234,8234.0,8312.0,0.0
91,8428,8428.0,8467.0,0.0
90,8376,8376.0,8528.0,0.0
92,8467,8467.0,8539.0,0.0
93,8572,8572.0,8665.0,0.0
94,8648,8648.0,8730.0,0.0
95,8711,8711.0,8833.0,0.0
96,8834,8834.0,8931.0,0.0
97,8913,8913.0,8970.0,0.0
98,8998,8998.0,9067.0,0.0
99,9024,9024.0,9074.0,0.0
100,9091,9091.0,9204.0,0.0
101,9192,9192.0,9244.0,0.0
102,9274,9274.0,9345.0,0.0
103,9309,9309.0,9406.0,0.0
104,9565,9565.0,9636.0,0.0
105,9932,9932.0,9986.0,0.0
106,10023,10023.0,10104.0,0.0
107,10060,10104.0,10167.0,44.0
108,10072,10167.0,10228.0,95.0
109,10134,10228.0,10307.0,94.0
110,10215,10228.0,10340.0,13.0
111,10272,10307.0,10371.0,35.0
112,10420,10420.0,10469.0,0.0
113,10520,10520.0,10572.0,0.0
114,10679,10679.0,10725.0,0.0
115,10737,10737.0,10811.0,0.0
116,10819,10819.0,10925.0,0.0
117,11016,11016.0,11069.0,0.0
118,11141,11141.0,11183.0,0.0
119,11207,11207.0,11300.0,0.0
120,11334,11334.0,11393.0,0.0
121,11341,11393.0,11477.0,52.0
122,11417,11477.0,11494.0,60.0
124,11728,11858.0,11947.0,130.0
123,11639,12067.0,12169.0,428.0
125,11858,12169.0,12237.0,311.0
126,11862,12237.0,12311.0,375.0
127,11905,12311.0,12408.0,406.0
128,12029,12408.0,12542.0,379.0
130,12086,12528.0,12569.0,442.0
129,12072,12528.0,12617.0,456.0
131,12146,12569.0,12696.0,423.0
132,12181,12617.0,12719.0,436.0
133,12349,12696.0,12754.0,347.0
135,12566,12754.0,12803.0,188.0
134,12371,12719.0,12843.0,348.0
136,12656,12803.0,12893.0,147.0
138,12799,12893.0,12950.0,94.0
137,12704,12843.0,12961.0,139.0
139,12888,12950.0,12994.0,62.0
140,12977,12977.0,13059.0,0.0
141,13201,13201.0,13290.0,0.0
142,13509,13509.0,13625.0,0.0
143,13636,13636.0,13704.0,0.0
144,13674,13674.0,13757.0,0.0
145,13762,13762.0,13822.0,0.0
146,13841,13841.0,13873.0,0.0
147,13889,13889.0,13962.0,0.0
148,14025,14025.0,14060.0,0.0
149,14062,14062.0,14181.0,0.0
150,14130,14130.0,14220.0,0.0
151,14206,14206.0,14282.0,0.0
152,14255,14255.0,14341.0,0.0
153,14279,14282.0,14352.0,3.0
154,14314,14352.0,14438.0,38.0
155,14326,14438.0,14573.0,112.0
157,14578,14578.0,14596.0,0.0
