id,energy_consumption,energy_effective,energy_waste
0,3580550.0,1906080.0,1674470.0
1,3580550.0,1906080.0,1674470.0
2,3580550.0,1906080.0,1674470.0
3,3580550.0,1906080.0,1674470.0
4,3580550.0,1906080.0,1674470.0
5,3580550.0,1898480.0,1682070.0
6,3580550.0,1701830.0,1878720.0
7,3580550.0,1523040.0,2057510.0
8,3580550.0,1287630.0,2292920.0
9,3580550.0,1047090.0,2533460.0
10,3580550.0,1008330.0,2572220.0
11,3580550.0,995410.0,2585140.0
12,3580550.0,979070.0,2601480.0
13,3580550.0,939550.0,2641000.0
14,3580550.0,895280.0,2685270.0
15,3580550.0,693690.0,2886860.0
16,3580550.0,404890.0,3175660.0
17,3580550.0,272650.0,3307900.0
18,2209475.0,190950.0,2018525.0
19,1961686.0,156180.0,1805506.0
20,1961686.0,135660.0,1826026.0
21,1961686.0,135660.0,1826026.0
22,1961686.0,122550.0,1839136.0
23,1232799.0,92150.0,1140649.0
24,1232799.0,100700.0,1132099.0
25,1232799.0,76190.0,1156609.0
26,1232799.0,41040.0,1191759.0
27,1232799.0,41040.0,1191759.0
28,1232799.0,41040.0,1191759.0
29,1232799.0,41040.0,1191759.0
30,976865.0,24130.0,952735.0
31,976865.0,24130.0,952735.0
