id,energy_consumption,energy_effective,energy_waste
0,3582070.0,1883090.0,1698980.0
1,3582070.0,1883090.0,1698980.0
2,3582070.0,1883090.0,1698980.0
3,3582070.0,1883090.0,1698980.0
4,3582070.0,1883090.0,1698980.0
5,3582070.0,1850220.0,1731850.0
6,3582070.0,1675610.0,1906460.0
7,3582070.0,1396500.0,2185570.0
8,3466773.0,1110170.0,2356603.0
9,3100972.0,878940.0,2222032.0
10,2841599.0,777670.0,2063929.0
11,2696437.0,747650.0,1948787.0
12,2696437.0,747650.0,1948787.0
13,2696437.0,744610.0,1951827.0
14,2496251.0,681720.0,1814531.0
15,2349279.0,583300.0,1765979.0
16,2506025.0,516040.0,1989985.0
17,2216063.0,453150.0,1762913.0
18,2024384.0,396910.0,1627474.0
19,2012257.0,388740.0,1623517.0
20,2004112.0,364800.0,1639312.0
21,1963206.0,288610.0,1674596.0
22,1901666.0,273980.0,1627686.0
23,1656592.0,219260.0,1437332.0
24,1485185.0,217360.0,1267825.0
25,1303280.0,138510.0,1164770.0
26,1071057.0,122930.0,948127.0
27,926438.0,107920.0,818518.0
28,771683.0,82270.0,689413.0
29,780552.0,91580.0,688972.0
30,780552.0,91580.0,688972.0
31,467784.0,36670.0,431114.0
