id,energy_consumption,energy_effective,energy_waste
0,3565350.0,1774030.0,1791320.0
1,3565350.0,1774030.0,1791320.0
2,3565350.0,1774030.0,1791320.0
3,3565350.0,1774030.0,1791320.0
4,3565350.0,1774030.0,1791320.0
5,3565350.0,1766430.0,1798920.0
6,3565350.0,1596760.0,1968590.0
7,3565350.0,1429750.0,2135600.0
8,3565350.0,1167550.0,2397800.0
9,3565350.0,915420.0,2649930.0
10,3565350.0,869820.0,2695530.0
11,3565350.0,856900.0,2708450.0
12,3565350.0,853860.0,2711490.0
13,3565350.0,873430.0,2691920.0
14,3565350.0,846260.0,2719090.0
15,3565350.0,711170.0,2854180.0
16,3565350.0,532760.0,3032590.0
17,3565350.0,477280.0,3088070.0
18,3565350.0,422180.0,3143170.0
19,3565350.0,372590.0,3192760.0
20,3565350.0,352070.0,3213280.0
21,3565350.0,304380.0,3260970.0
22,3565350.0,303810.0,3261540.0
23,3428152.0,223820.0,3204332.0
24,3428152.0,197030.0,3231122.0
25,3428152.0,137560.0,3290592.0
26,2645689.0,67640.0,2578049.0
27,2645689.0,67640.0,2578049.0
28,2645689.0,67640.0,2578049.0
29,2645689.0,67640.0,2578049.0
30,2322785.0,24130.0,2298655.0
31,2322785.0,24130.0,2298655.0
